[2026-07-27T08:54:57.208Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-27T08:54:57.208Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-27T08:54:57.208Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-27T08:54:57.209Z] [INFO] Daemon started (PID: 2419545, CPUs: 16, workers: 7, maxCpuLoad: 12.8, minFreeMemoryPercent: 10%)
[2026-07-27T08:54:57.210Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T08:54:57.210Z] [INFO] Worker map completed in 1ms
[2026-07-27T08:56:57.213Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T08:56:57.214Z] [INFO] Worker audit completed in 0ms
[2026-07-27T08:58:57.213Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T08:58:57.213Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T09:00:57.212Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T09:00:57.213Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T09:00:57.213Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T09:02:57.213Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T09:02:57.213Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T09:04:57.213Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-27T09:04:57.214Z] [INFO] Worker backup completed in 1ms
[2026-07-27T09:06:57.213Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-27T09:06:57.219Z] [INFO] Worker harness completed in 6ms
[2026-07-27T09:06:57.220Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:06:57.220Z] [INFO] Worker audit completed in 0ms
[2026-07-27T09:09:57.214Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T09:09:57.214Z] [INFO] Worker map completed in 0ms
[2026-07-27T09:13:57.219Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T09:13:57.220Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T09:16:57.223Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:16:57.223Z] [INFO] Worker audit completed in 0ms
[2026-07-27T09:22:57.216Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T09:22:57.216Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T09:24:57.218Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T09:24:57.218Z] [INFO] Worker map completed in 0ms
[2026-07-27T09:26:57.227Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:26:57.227Z] [INFO] Worker audit completed in 0ms
[2026-07-27T09:28:57.223Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T09:28:57.223Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T09:30:57.216Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T09:30:57.216Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T09:30:57.217Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T09:36:57.229Z] [INFO] Worker audit deferred: CPU load too high: 14.29
[2026-07-27T09:39:57.225Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T09:39:57.225Z] [INFO] Worker map completed in 0ms
[2026-07-27T09:39:57.226Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:39:57.226Z] [INFO] Worker audit completed in 0ms
[2026-07-27T09:42:57.218Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T09:42:57.218Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T09:43:57.226Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T09:43:57.227Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T09:46:57.232Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:46:57.232Z] [INFO] Worker audit completed in 1ms
[2026-07-27T09:54:57.227Z] [INFO] Worker map deferred: CPU load too high: 13.21
[2026-07-27T09:56:57.234Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T09:56:57.235Z] [INFO] Worker audit completed in 1ms
[2026-07-27T09:56:57.235Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T09:56:57.235Z] [INFO] Worker map completed in 0ms
[2026-07-27T09:58:57.227Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T09:58:57.227Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T10:00:57.219Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T10:00:57.219Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T10:00:57.219Z] [INFO] Worker consolidate completed in 1ms
[2026-07-27T10:02:57.219Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T10:02:57.219Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T10:06:57.236Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:06:57.236Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:09:57.228Z] [INFO] Worker map deferred: CPU load too high: 20.63
[2026-07-27T10:13:57.229Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:13:57.229Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T10:13:57.229Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:13:57.230Z] [INFO] Worker map completed in 1ms
[2026-07-27T10:16:57.238Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:16:57.238Z] [INFO] Worker audit completed in 1ms
[2026-07-27T10:22:57.220Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T10:22:57.220Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T10:24:57.233Z] [INFO] Worker map deferred: CPU load too high: 17.09
[2026-07-27T10:26:57.242Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:26:57.242Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:26:57.243Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:26:57.243Z] [INFO] Worker map completed in 0ms
[2026-07-27T10:28:57.234Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:28:57.234Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T10:30:57.223Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T10:30:57.223Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T10:30:57.223Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T10:36:57.247Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:36:57.247Z] [INFO] Worker audit completed in 0ms
[2026-07-27T10:39:57.237Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:39:57.237Z] [INFO] Worker map completed in 0ms
[2026-07-27T10:42:57.225Z] [INFO] Worker testgaps deferred: CPU load too high: 17.37
[2026-07-27T10:43:57.238Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T10:43:57.238Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T10:43:57.239Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T10:43:57.239Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T10:46:57.251Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T10:46:57.251Z] [INFO] Worker audit completed in 1ms
[2026-07-27T10:54:57.242Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T10:54:57.243Z] [INFO] Worker map completed in 1ms
[2026-07-27T10:56:57.254Z] [INFO] Starting worker: audit (1/2 concurrent)
